id,name,latitude,longitude,neighbourhood_cleansed,city,property_type,room_type,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
24172247,"Spacious, peaceful Private Entrance Suite-West AVL",35.61007,-82.63626,28806,Asheville,Guest suite,Entire home/apt,1,1.0,65.0,2015-10-20,t,1,1,108,98.0,f,moderate
24177903,Studio Viajero,35.584179999999996,-82.57689,28806,Asheville,Guest suite,Entire home/apt,1,1.0,100.0,2013-11-04,t,1,2,93,100.0,f,moderate
24196245,Bohemian Suite,35.60232,-82.5322,28805,Asheville,Guest suite,Entire home/apt,1,1.0,94.0,2016-01-09,f,1,3,34,95.0,f,flexible
24202030,"Private, Spa-quality Suite, Living Rm/Kitchenette.",35.63227,-82.60571,28804,Asheville,Guesthouse,Private room,1,1.0,90.0,2014-06-11,t,2,2,64,100.0,f,moderate
24202205,"West Asheville Bungalow, close to Breweries",35.58282,-82.62686,28806,Asheville,Bungalow,Entire home/apt,2,2.0,82.0,2016-05-09,t,2,2,60,97.0,t,flexible
24208478,Vintage Charm Right Where You Want to Be,35.57974,-82.57025,28806,Asheville,Condominium,Private room,1,1.0,56.0,2014-04-28,t,1,1,56,98.0,t,flexible
24222452,1920's bungalow 2.5 miles to downtown Asheville,35.61101,-82.5615,28804,Woodfin,Bungalow,Entire home/apt,2,1.0,110.0,2015-06-04,t,4,20,13,98.0,t,moderate
24278792,The Whole Enchilada!,35.628890000000006,-82.57566,28804,Woodfin,Apartment,Entire home/apt,4,2.0,270.0,2017-11-04,t,8,2,44,100.0,t,strict_14_with_grace_period
24280176,"Near Asheville, Biltmore Estate and AVL airport",35.48438,-82.47498,28732,Fletcher,Guest suite,Entire home/apt,2,1.0,109.0,2016-01-05,t,2,1,95,99.0,t,flexible
24287936,Arden 2 Room Apartment,35.463570000000004,-82.50922,28704,Arden,Guest suite,Private room,1,1.0,75.0,2015-02-13,t,1,2,18,100.0,t,moderate
24306486,Country Chic House with a Hot Tub Near Downtown Asheville,35.55113,-82.50723,28803,Asheville,House,Entire home/apt,3,1.0,200.0,2018-01-12,t,6,2,161,100.0,t,flexible
24312963,The Lodges at Beaver lake unit 303,35.637809999999995,-82.57578000000001,28804,Woodfin,Apartment,Entire home/apt,1,1.0,69.0,2018-03-19,f,1,2,31,92.0,t,strict_14_with_grace_period
24327916,"Comfy, Cozy Mountain Getaway",35.57828,-82.6055,28806,Asheville,House,Private room,1,1.0,80.0,2016-02-17,t,1,2,36,95.0,f,strict_14_with_grace_period
24329922,Charming Apartment 1 Minute to Everything!,35.58818,-82.57576,28806,Asheville,Apartment,Entire home/apt,1,1.0,119.0,2017-04-08,t,1,2,107,99.0,t,moderate
24347730,Downtown Asheville Condo,35.59848,-82.55506,28801,Asheville,Condominium,Entire home/apt,2,2.0,250.0,2018-04-11,t,1,2,76,100.0,f,moderate
24373135,Classic Comfort,35.51359,-82.59674,28806,Asheville,House,Entire home/apt,3,2.0,250.0,2016-06-01,t,6,2,19,100.0,t,flexible
24375145,"Bent Creek Getaway, Bike",35.514759999999995,-82.61112,28806,Asheville,Guest suite,Entire home/apt,1,1.0,100.0,2018-04-12,t,4,2,56,98.0,f,flexible
24387676,Brookstone Lodge Asheville Biltmore Village Area,35.554320000000004,-82.51977,28803,Asheville,Boutique hotel,Hotel room,1,1.0,99.0,2018-04-13,f,1,1,31,92.0,t,flexible
24396068,"Country Cottage: Cozy, Private & CLEAN",35.60111,-82.48158000000001,28805,Asheville,Cottage,Entire home/apt,2,1.0,85.0,2014-10-27,t,4,3,145,99.0,t,moderate
24413175,Bungalow in the heart of West Asheville,35.58253,-82.57333,28806,Asheville,House,Private room,1,1.0,46.0,2015-02-23,t,1,1,102,98.0,t,flexible
24421260,Be our Guest at May Manor!,35.57323,-82.59279000000001,28806,Asheville,Apartment,Entire home/apt,0,1.0,99.0,2015-08-02,t,1,2,119,98.0,f,flexible
24425345,"Mountain Views, Minutes to Work",35.568540000000006,-82.52401,28803,Asheville,House,Entire home/apt,1,1.0,62.0,2016-04-10,t,1,30,4,100.0,f,flexible
24428641,Enchanting Cottage near Downtown Asheville,35.61145,-82.52704,28805,Asheville,Cottage,Entire home/apt,3,2.5,480.0,2013-03-03,t,8,2,49,100.0,f,moderate
24445744,"Majestic Home by the River Arts, West AVL",35.58384,-82.57024,28806,Asheville,House,Private room,1,1.0,75.0,2015-11-24,t,2,1,77,97.0,t,moderate
24476866,Imaginarium,35.56603,-82.59625,28806,Asheville,Loft,Entire home/apt,1,1.0,69.0,2013-09-23,t,2,2,119,100.0,f,moderate
24493492,Edwin Place,35.611059999999995,-82.55041,28801,Asheville,House,Private room,2,1.0,75.0,2018-03-15,t,2,1,92,100.0,f,moderate
24520534,Downtown Asheville Traveler's Haven-Best Value-#12,35.59148,-82.5505,28801,Asheville,Apartment,Private room,1,2.0,49.0,2013-07-21,t,1,2,82,98.0,t,flexible
24540122,Private+Walk to RAD & West AVL+Deck!!!,35.5859,-82.5755,28806,Asheville,Guest suite,Entire home/apt,1,2.0,129.0,2018-04-20,t,2,14,204,99.0,f,flexible
24594949,Stylish Studio in the Trees - Montford,35.60732,-82.57414,28801,Asheville,Apartment,Entire home/apt,0,1.0,95.0,2014-03-08,t,1,2,144,99.0,f,moderate
24605088,Sunflower Hotel Vibe Minutes Downtown+Biltmore,35.55962,-82.50559,28803,Asheville,House,Private room,1,1.0,70.0,2012-07-23,t,1,1,343,97.0,t,strict_14_with_grace_period
24678233,Biltmore and Brewery Base-Camp,35.57031,-82.52450999999999,28803,Asheville,Guest suite,Entire home/apt,1,1.0,45.0,2016-04-10,t,1,30,13,100.0,f,flexible
24697002,The Baying Hound Campground {Tent Site #2},35.61337,-82.60525,28806,Asheville,Campsite,Entire home/apt,0,0.0,17.0,2017-09-19,t,2,1,38,97.0,t,flexible
