id,latitude,longitude,neighbourhood_cleansed,city,zipcode,property_type,room_type,accommodates,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
13582513,35.581140000000005,-82.5949,28806,Asheville,28806.0,Apartment,Entire home/apt,2,1,1.0,75.0,2015-08-01,t,1,2,178,94.0,f,strict_14_with_grace_period
13648659,35.61258,-82.52601,28805,Asheville,28805.0,Guest suite,Entire home/apt,2,1,1.5,79.0,2012-03-23,t,2,1,330,99.0,f,strict_14_with_grace_period
13674901,35.55043,-82.52338,28803,Asheville,28803.0,Bungalow,Private room,2,1,1.0,51.0,2016-02-03,t,1,3,149,98.0,f,moderate
13700790,35.4749,-82.50163,28704,Arden,28704.0,House,Private room,2,1,1.0,30.0,2015-07-06,t,1,1,277,98.0,f,flexible
13706838,35.584790000000005,-82.59613,28806,Asheville,28806.0,Guest suite,Entire home/apt,8,2,2.0,165.0,2015-06-26,f,4,2,13,98.0,f,flexible
13708322,35.5973,-82.64165,28806,Asheville,28806.0,House,Entire home/apt,4,2,2.0,150.0,2015-02-22,f,4,2,15,93.0,f,strict_14_with_grace_period
13716891,35.61609,-82.55306,28804,Asheville,28804.0,Guesthouse,Entire home/apt,2,1,1.0,80.0,2013-07-11,t,2,2,303,97.0,t,moderate
13725727,35.56125,-82.50431,28803,Asheville,28803.0,House,Private room,2,1,1.5,55.0,2013-11-27,f,1,1,87,99.0,f,moderate
13744589,35.58019,-82.58514,28806,Asheville,28806.0,House,Entire home/apt,4,2,2.0,127.0,2016-03-21,t,4,2,189,98.0,t,flexible
13779774,35.57154,-82.59257,28806,Asheville,28806.0,Guest suite,Entire home/apt,2,1,1.0,38.0,2012-11-19,f,2,29,26,90.0,f,strict_14_with_grace_period
13799325,35.57592,-82.59622,28806,Asheville,28806.0,Bungalow,Entire home/apt,4,2,2.0,260.0,2016-01-05,f,1,3,17,97.0,t,strict_14_with_grace_period
13819278,35.608129999999996,-82.48591,28805,Asheville,28805.0,Apartment,Entire home/apt,6,2,2.0,145.0,2014-12-08,t,4,3,87,98.0,t,strict_14_with_grace_period
13877850,35.59298,-82.61075,28806,Asheville,28806.0,Guest suite,Entire home/apt,3,1,1.0,120.0,2015-01-05,f,1,2,177,97.0,t,moderate
13879892,35.59766,-82.48562,28805,Asheville,28805.0,House,Entire home/apt,6,2,1.0,125.0,2015-11-02,t,1,2,151,99.0,f,moderate
13893832,35.5894,-82.56126,28801,Asheville,28801.0,Condominium,Entire home/apt,2,1,1.0,250.0,2014-10-06,t,1,1,4,100.0,t,flexible
13900600,35.57863,-82.60554,28806,Asheville,28806.0,House,Private room,2,1,1.0,80.0,2016-02-17,t,1,2,13,92.0,t,moderate
13901952,35.61518,-82.54307,28801,Asheville,28801.0,Apartment,Entire home/apt,3,1,1.0,125.0,2015-10-10,t,1,30,17,96.0,t,flexible
13942925,35.62023,-82.57441999999999,28804,Ashville,28804.0,Bungalow,Entire home/apt,5,2,1.0,94.0,2016-04-11,t,4,30,171,97.0,f,moderate
13974448,35.60928,-82.56223,28804,Asheville,28801.0,Guest suite,Entire home/apt,2,1,1.0,95.0,2016-03-17,t,2,1,127,100.0,f,moderate
14044072,35.50306,-82.56298000000001,28803,Asheville,28806.0,House,Entire home/apt,4,2,2.0,100.0,2016-07-17,t,2,3,31,100.0,t,strict_14_with_grace_period
14052114,35.5805,-82.60598,28806,Asheville,28806.0,Apartment,Entire home/apt,4,2,1.0,139.0,2012-06-05,f,4,30,49,98.0,t,moderate
14076438,35.58641,-82.49023000000001,28805,Asheville,28805.0,Cottage,Entire home/apt,4,2,1.5,250.0,2015-07-10,t,4,2,49,100.0,f,strict_14_with_grace_period
14102422,35.553020000000004,-82.47200000000001,28803,Asheville,28803.0,Guest suite,Entire home/apt,4,2,1.0,80.0,2016-06-17,t,2,3,42,96.0,t,flexible
14110641,35.63114,-82.58326,28804,Asheville,28804.0,House,Entire home/apt,2,1,1.0,135.0,2011-04-03,t,2,3,28,99.0,f,moderate
14122794,35.56142,-82.51329,28803,Asheville,28803.0,Guesthouse,Entire home/apt,4,2,1.0,95.0,2016-07-21,f,1,5,21,99.0,f,moderate
14125023,35.59857,-82.54082,28801,Asheville,28801.0,House,Entire home/apt,2,1,1.0,50.0,2013-12-21,f,1,30,1,100.0,f,strict_14_with_grace_period
14167740,35.56922,-82.59956,28806,Asheville,28806.0,House,Entire home/apt,3,2,2.0,62.0,2016-07-24,f,1,30,7,89.0,f,strict_14_with_grace_period
14168464,35.59022,-82.5528,28801,Asheville,28801.0,Apartment,Entire home/apt,4,1,1.0,121.0,2014-10-29,t,2,1,327,98.0,t,moderate
14168714,35.58182,-82.57364,28806,Asheville,28806.0,House,Entire home/apt,2,1,1.0,110.0,2016-03-11,f,1,1,34,99.0,f,flexible
14184893,35.631370000000004,-82.47366,28805,Asheville,28805.0,House,Private room,2,1,1.0,69.0,2015-09-06,t,1,2,95,99.0,f,strict_14_with_grace_period
14186791,35.603159999999995,-82.54583000000001,28801,Asheville,28801.0,Apartment,Entire home/apt,2,1,1.0,100.0,2011-07-08,f,1,2,54,97.0,t,flexible
14203513,35.59534,-82.61907,28806,Asheville,28806.0,Guest suite,Entire home/apt,3,1,1.0,65.0,2012-09-15,t,2,1,173,99.0,f,moderate
14236639,35.581579999999995,-82.5537,28801,Asheville,28801.0,Bungalow,Entire home/apt,4,2,1.0,115.0,2014-09-21,f,1,30,16,100.0,f,moderate
14252155,35.50547,-82.4676,28803,Asheville,28803.0,House,Private room,4,1,1.0,165.0,2016-07-29,f,4,1,1,80.0,f,moderate
14252379,35.50479,-82.46765,28803,Asheville,28803.0,House,Private room,2,1,1.0,70.0,2016-07-29,f,2,1,20,97.0,f,moderate
14252454,35.50482,-82.46601,28803,Asheville,28803.0,House,Private room,2,1,1.0,95.0,2016-07-29,f,2,1,8,97.0,f,moderate
14295265,35.49896,-82.52829,28803,Asheville,28803.0,Condominium,Private room,2,1,1.0,63.0,2014-05-13,t,2,1,148,99.0,f,strict_14_with_grace_period
14352724,35.59665,-82.5653,28801,Asheville,28801.0,Apartment,Entire home/apt,2,1,1.0,129.0,2013-07-30,t,2,2,284,99.0,t,strict_14_with_grace_period
14355288,35.60818,-82.55643,28801,Asheville,28801.0,House,Entire home/apt,6,3,2.0,90.0,2012-07-22,t,6,60,13,94.0,f,strict_14_with_grace_period
14430828,35.57578,-82.57799999999999,28806,Asheville,28806.0,Guest suite,Entire home/apt,4,1,1.0,125.0,2014-08-06,t,4,2,150,98.0,f,flexible
14440002,35.623459999999994,-82.5774,28804,Woodfin,28804.0,House,Entire home/apt,6,4,2.0,125.0,2016-08-09,f,5,2,149,90.0,t,moderate
14442508,35.506609999999995,-82.60848,28806,Asheville,28806.0,Apartment,Entire home/apt,3,1,1.0,82.0,2013-12-31,t,2,2,143,97.0,f,moderate
14466206,35.577009999999994,-82.57382,28806,Asheville,28806.0,House,Private room,6,2,1.0,80.0,2014-09-22,f,4,2,66,99.0,f,flexible
14499003,35.51416,-82.51137,28803,Asheville,28803.0,Guest suite,Entire home/apt,6,1,1.0,97.0,2012-10-24,t,3,30,61,97.0,f,moderate
14514191,35.553709999999995,-82.6227,28806,Asheville,28806.0,House,Entire home/apt,4,2,1.0,75.0,2013-09-01,f,4,30,4,100.0,f,strict_14_with_grace_period
14522467,35.62208,-82.57584,28804,Woodfin,28804.0,Bungalow,Entire home/apt,4,2,1.0,160.0,2016-08-13,t,1,2,117,100.0,t,strict_14_with_grace_period
14523242,35.524359999999994,-82.61661,28806,Asheville,28806.0,House,Entire home/apt,7,3,2.0,124.0,2015-06-06,t,6,3,80,96.0,f,moderate
14547745,35.58455,-82.53611,28805,Asheville,28805.0,House,Private room,2,1,1.0,70.0,2012-10-15,t,1,2,122,99.0,t,moderate
14561813,35.598259999999996,-82.55424000000001,28801,Asheville,28801.0,Townhouse,Entire home/apt,2,1,1.0,136.0,2014-08-22,t,1,2,116,99.0,t,moderate
