id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,review_scores_rating,cancellation_policy
1066156,Blend City and Country at Lucky W Cottage,4834939,Jessica,1/24/2013,within an hour,100%,97%,t,Asheville,28804,35.6461,-82.51605,Cottage,Entire home/apt,4,1,1,$135.00 ,$250.00 ,$60.00 ,100,moderate
1127777,"Modern Meets Zen, Rest & Restore - West Asheville",6187751,Hun,5/1/2013,within a day,100%,81%,t,Asheville,28806,35.57381,-82.59377,Bungalow,Private room,2,1,1,$60.00 ,,,98,moderate
1151149,Private Retreat Near Downtown,6297275,Lou Ella,5/8/2013,N/A,N/A,N/A,f,Asheville,28805,35.5877,-82.49744,House,Private room,2,1,1,$72.00 ,,$30.00 ,98,moderate
1198090,"Sunny, Walkable W.AVL - 5  min drive to downtown",6559591,Gennell,5/24/2013,within an hour,100%,100%,t,Asheville,28806,35.57299,-82.57666,Apartment,Entire home/apt,2,1,1,$85.00 ,$150.00 ,$35.00 ,98,moderate
1212352,Downtown Get Around #1,6618494,Reid,5/28/2013,within an hour,100%,85%,t,Asheville,28801,35.59942,-82.56189,Apartment,Entire home/apt,4,1,1,$110.00 ,$100.00 ,$75.00 ,96,strict_14_with_grace_period
1219374,"Kickback, Relax in a Private Suite with a Simple Breakfast",1286364,Brenda,10/13/2011,within an hour,100%,94%,t,Asheville,28801,35.60622,-82.56569,House,Private room,5,1.5,2,$85.00 ,$250.00 ,$40.00 ,100,moderate
1223655,Handsome Chic Loft Downtown,427027,Celeste,3/7/2011,within an hour,100%,98%,t,Asheville,28801,35.59771,-82.55533,Loft,Entire home/apt,12,2,4,$765.00 ,$300.00 ,$0.00 ,96,super_strict_60
1223683,xo Loft,427027,Celeste,3/7/2011,within an hour,100%,98%,t,Asheville,28801,35.59788,-82.55555,Loft,Entire home/apt,6,1.5,1,$355.00 ,$200.00 ,$0.00 ,95,super_strict_60
1235531,Stay and get a discount on Biltmore Estate tickets,5079854,Rebecca,2/13/2013,N/A,N/A,100%,t,Arden,28704,35.4703,-82.51606,Townhouse,Private room,2,1,1,$89.00 ,$0.00 ,$20.00 ,96,strict_14_with_grace_period
1243512,Multiple Neighboring Downtown Lofts,427027,Celeste,3/7/2011,within an hour,100%,98%,t,Asheville,28801,35.59821,-82.55274,Loft,Entire home/apt,16,12.5,34,"$1,285.00 ",$0.00 ,$0.00 ,98,super_strict_60
1297717,"Lovely, peaceful mountain retreat",614610,Linda,5/22/2011,within a few hours,100%,85%,f,Asheville,28805,35.62277,-82.50215,Guest suite,Entire home/apt,2,1,0,$57.00 ,$0.00 ,$20.00 ,93,flexible
1312301,Mid Century Modern Basement Apt..,7130739,Marta,6/26/2013,N/A,N/A,92%,t,Asheville,28805,35.58247,-82.49987,Apartment,Entire home/apt,3,1,1,$79.00 ,$100.00 ,$50.00 ,95,moderate
1325364,West Asheville Townhouse,7193579,Julie,6/30/2013,within an hour,100%,99%,t,Asheville,28806,35.57827,-82.58891,Townhouse,Private room,2,1.5,1,$75.00 ,,,96,moderate
1392363,Explorers Retreat Near Downtown Asheville,7527127,Theo,7/16/2013,within an hour,100%,94%,f,Asheville,28804,35.62447,-82.57928,Bungalow,Entire home/apt,2,1,1,$115.00 ,$450.00 ,$74.00 ,94,moderate
1393012,HUGE SUITE (king bed) & huge bath-PRIVATE ACCESS,7523601,Karen,7/16/2013,N/A,N/A,94%,t,Arden,28704,35.46158,-82.53984,House,Private room,2,1,1,$80.00 ,,$10.00 ,100,moderate
1421061,Garden studio between Asheville +  Biltmore Estate,483350,Emilio And Kate,4/4/2011,within an hour,100%,92%,t,Asheville,28803,35.57597,-82.53695,Apartment,Entire home/apt,2,1,1,$125.00 ,$300.00 ,$50.00 ,99,moderate
1475299,Refocus Five - June discount 5/24-6/29!,1566145,Gayle,1/4/2012,within an hour,100%,100%,t,Asheville,28804,35.64455,-82.52651,House,Entire home/apt,5,1.5,3,$152.00 ,$0.00 ,$110.00 ,100,strict_14_with_grace_period
1497710,1BR btwn D-town & WAVL w/ hot tub,2326321,Jeff & Ann-Marie,5/8/2012,N/A,N/A,100%,f,Asheville,28806,35.57145,-82.57502,House,Private room,2,1,1,$125.00 ,$100.00 ,$35.00 ,98,strict_14_with_grace_period
1563004,Sunny Sublet in Intentional Community,8316714,Sivanne,8/22/2013,N/A,N/A,100%,f,Asheville,28806,35.57279,-82.60014,House,Private room,2,0.5,1,$50.00 ,$500.00 ,$30.00 ,100,flexible
1569954,Charming cottage bordered by stream,8348149,Deborah,8/23/2013,N/A,N/A,100%,f,Asheville,28804,35.61156,-82.55237,House,Private room,2,1,1,$70.00 ,$100.00 ,$25.00 ,98,strict_14_with_grace_period
1571095,Perfectly Located Studio Apartment In Asheville,8345942,Sherry,8/23/2013,N/A,N/A,94%,t,Asheville,28803,35.57357,-82.53846,Guesthouse,Entire home/apt,2,1,0,$79.00 ,$100.00 ,$40.00 ,99,moderate
1574329,#7 Rose Room - Oakland Cottage B&B,3736218,Mary,10/2/2012,within an hour,100%,96%,t,Asheville,28801,35.57478,-82.55719,Bed and breakfast,Private room,2,1,1,$135.00 ,$0.00 ,$0.00 ,100,strict_14_with_grace_period
1577750,BILTMORE location w/private bath & kitchen 'nook'!,8386107,Cindi,8/25/2013,within an hour,100%,83%,f,Asheville,28803,35.55981,-82.53563,House,Private room,2,1,1,$44.00 ,$175.00 ,$20.00 ,95,strict_14_with_grace_period
1578831,Downtown Get Around  # 2,6618494,Reid,5/28/2013,within an hour,100%,85%,t,Asheville,28801,35.60603,-82.55362,Apartment,Entire home/apt,2,1,1,$89.00 ,$100.00 ,$60.00 ,94,strict_14_with_grace_period
1586906,"Hidden treasure near Downtown, UNCA",5601328,Mary,3/24/2013,within an hour,100%,100%,t,Asheville,28801,35.60823,-82.56212,House,Private room,2,1,1,$80.00 ,$0.00 ,$15.00 ,99,moderate
